"ProjectID","Date","Country","Project Title","Sector","Public/Private","Status","CostRONm","CostTLm","CostPLNm","CostRUBm","CostUSDm","CostEURm","Cost","URL","CostCurrEURm"
"43001",2012-03-12,"Poland","ENEA Operator","Power and energy","Public","",NA,NA,NA,NA,NA,772,"PLN 3.2 billion (€772 million).","http://www.ebrd.com/english/pages/project/psd/2012/43001.shtml",790.252013510003
"4304",1998-10-02,"Georgia","Enguri Hydro power Plant Rehabilitation project","Power and energy","Public","S",NA,NA,NA,NA,NA,125,"US$ 180.0 million (Euro 125.0 million).","http://www.ebrd.com/english/pages/project/psd/1998/4304.shtml",169.886167644015
"43125",2011-10-17,"Albania","Komani HPP Dam Safety Upgrade","Power and energy","Public","S",NA,NA,NA,NA,NA,72.3,"Estimated EUR 72.3 million.
Total cost excluding taxes and duties, includes EUR 59.6 million parallel financing in the form of grants and concessionary financing from WB, SECO and KfW.","http://www.ebrd.com/english/pages/project/psd/2011/43125.shtml",75.0426765015806
"43190",2011-10-27,"Russia","RusHydro Far East Loan","Power and energy","Public","S",NA,NA,NA,20000,NA,470.586020771667,"RUB 20 billion.","http://www.ebrd.com/english/pages/project/psd/2011/43190.shtml",488.437545505796
"43206",2012-08-01,"Russia","Inter RAO Convertible Loan","Power and energy","Private","S",NA,NA,NA,9600,NA,242.986916673205,"RUB 9.6 billion.","http://www.ebrd.com/english/pages/project/psd/2012/43206.shtml",248.473514918246
"43331",2013-04-12,"Poland","Winsko Biomass","Power and energy","Private","Cn",NA,NA,NA,NA,NA,115,"Approx. PLN 480 million (EUR 115 million).","http://www.ebrd.com/english/pages/project/psd/2013/43331.shtml",115.803373658204
"43483",2012-01-06,"Kazakhstan","Shardara HPP Modernization Project","Power and energy","Public","S",NA,NA,NA,NA,NA,96,"€96 million.","http://www.ebrd.com/english/pages/project/psd/2012/43483.shtml",100.03702724147
"43499",2011-03-18,"Kazakhstan","KazREFF: Kazakhstan Renewable Energy Financing Facility","Power and energy","Private","PCR, PFR",NA,NA,NA,NA,NA,100,"Up to €100 million, of which €20 million will be provided by the CTF.","http://www.ebrd.com/english/pages/project/psd/2011/43499.shtml",105.10403699093
"43647",2012-07-24,"Romania","EDPR Romania Wind Farms (Sarichioi and Vutcani WPPs)","Power and energy","Private","S",NA,NA,NA,NA,NA,83,"The total project cost is roughly €83 million.","http://www.ebrd.com/english/pages/project/psd/2012/43647.shtml",85.205836373111
"43763",2012-03-28,"Serbia","Kolubara B TPP","Power and energy","Private","Cn",NA,NA,NA,NA,NA,NA,"To be determined.","http://www.ebrd.com/english/pages/project/psd/2012/43763.shtml",NA
"43819",2012-09-13,"Poland","Kukinia Wind","Power and energy","Private","S",NA,NA,NA,NA,NA,190,"Up to approx. PLN 826 million (EUR 190 million).","http://www.ebrd.com/english/pages/project/psd/2012/43819.shtml",192.871865338372
"43892",2012-06-20,"Poland","Orla Wind Farm","Power and energy","Private","S",NA,NA,NA,NA,NA,64,"Approximately PLN 269 million (€64 million).","http://www.ebrd.com/english/pages/project/psd/2012/43892.shtml",65.348997926745
"44040",2012-09-13,"Armenia","IEC Hydropower Rehabilitation","Power and energy","Private","S",NA,NA,NA,NA,50,38.9089918680207,"USD 50 million.","http://www.ebrd.com/english/pages/project/psd/2012/44040.shtml",39.4971045551357
"44057",2012-09-05,"Morocco","ONE-Rural Electrification and Smart Metering","Power and energy","Public","S",NA,NA,NA,NA,NA,77,"EUR 77 million.","http://www.ebrd.com/english/pages/project/psd/2012/44057.shtml",78.163861216077
"44114",2012-11-22,"FYR Macedonia","MEPSO Rehabilitation and Control Project","Power and energy","Public","S",NA,NA,NA,NA,NA,40.5,"Estimated at EUR 40.5 million.","http://www.ebrd.com/english/pages/project/psd/2012/44114.shtml",41.0980425824176
"44199",2012-10-08,"Bosnia and Herzegovina","EPBiH - Hydro Power Plants Project","Power and energy","Public","S",NA,NA,NA,NA,NA,35,"EUR 35 million.","http://www.ebrd.com/english/pages/project/psd/2012/44199.shtml",35.4468340330734
"44222",2012-08-13,"Russia","Vladivostok Combined Heat & Power Plant","Power and energy","Public","S",NA,NA,NA,NA,NA,250,"The Project’s total operation cost is estimated at RUB 10.3bn (EUR 250mn).","http://www.ebrd.com/english/pages/project/psd/2012/44222.shtml",255.644951985466
"44284",2012-08-24,"Jordan","IPP4 Al-Manakher Power Project","Power and energy","Private","S",NA,NA,NA,NA,360,287.505490556243,"US$ 360 million.","http://www.ebrd.com/english/pages/project/psd/2012/44284.shtml",293.997309769011
"44317",2013-04-15,"Romania","LEF - ICCO Energy Efficiency Project","Power and energy","Private","Cn",NA,NA,NA,NA,NA,7.5,"Up to EUR 7.5 million.","http://www.ebrd.com/english/pages/project/psd/2013/44317.shtml",7.5523939342307
